iter	AUC	Logloss
509	0.7982235849	0.5789496434
510	0.7982245684	0.5788847648
511	0.7982241809	0.5788215989
512	0.7982245088	0.5787550484
513	0.798227191	0.5786935544
514	0.7982278466	0.5786301846
515	0.7982243299	0.5785672633
516	0.7982283533	0.578504913
517	0.7982298732	0.5784438676
518	0.7982279062	0.5783825367
519	0.7982307374	0.5783206349
520	0.798383832	0.5782663587
521	0.7984111905	0.5782061696
522	0.7984158993	0.5781448795
523	0.7984171808	0.5780819583
524	0.7986415029	0.5780289054
525	0.7986474633	0.5779673299
526	0.7986509204	0.5779089351
527	0.7986590564	0.5778470333
528	0.7986622155	0.5777914522
529	0.7986970246	0.577738644
530	0.798696816	0.5776798006
531	0.7987620234	0.5776298469
532	0.7987690568	0.5775710851
533	0.7988369167	0.5775222324
534	0.7988975048	0.5774664474
535	0.7988996208	0.5774067885
536	0.7988982201	0.5773483937
537	0.7988945842	0.5772922416
538	0.7988988161	0.577232705
539	0.7988993227	0.5771740247
540	0.7989216447	0.5771219506
541	0.7989211977	0.5770638412
542	0.7989287078	0.5770087087
543	0.7989279032	0.5769545548
544	0.7989678085	0.5769051312
545	0.7989695668	0.5768440043
546	0.7989761531	0.5767886678
547	0.7989834845	0.5767369607
548	0.7989808619	0.5766818281
549	0.7990396023	0.5766315074
550	0.7990702987	0.5765775167
551	0.7990762591	0.5765219764
552	0.7990795076	0.5764679448
553	0.7990779281	0.576417094
554	0.7990726531	0.5763629809
555	0.7990738153	0.5763070328
556	0.799074918	0.5762586695
557	0.7990801036	0.5762024767
558	0.7990760505	0.5761479559
559	0.7990803421	0.5760961671
560	0.7990934253	0.5760477223
561	0.799103111	0.5760001338
562	0.7991121411	0.5759494461
563	0.7991153002	0.5758954145
564	0.7991159856	0.5758432588
565	0.7991194427	0.5757881671
566	0.7991367579	0.5757387435
567	0.7991413176	0.5756866286
568	0.7991680503	0.5756374497
569	0.7991684973	0.5755865581
570	0.7991685569	0.5755326489
571	0.7991901338	0.5754850604
572	0.7991958559	0.575439837
573	0.7991971374	0.5753876813
574	0.7991910875	0.57534152
575	0.7992116213	0.5752928713
576	0.7992143631	0.5752425914
577	0.7992414832	0.5751978573
578	0.7992478609	0.5751454977
579	0.7992603779	0.5751005598
580	0.7992542088	0.5750504022
581	0.7992720604	0.5750041186
582	0.7992599308	0.574958569
583	0.7992807031	0.5749109397
584	0.7993401587	0.5748684893
585	0.7993578315	0.5748218387
586	0.799360007	0.5747768192
587	0.7993780673	0.574733961
588	0.7993881404	0.5746873104
589	0.7993904054	0.5746373159
