iter	Passed	Remaining
767	39720	736066
768	39773	736035
769	39820	735894
770	39870	735822
771	39918	735695
772	39979	735816
773	40030	735760
774	40078	735627
775	40131	735598
776	40203	735918
777	40256	735906
778	40313	735936
779	40364	735868
780	40419	735876
781	40473	735867
782	40525	735816
783	40583	735892
784	40638	735893
785	40690	735851
786	40743	735815
787	40791	735700
788	40850	735775
789	40899	735682
790	40954	735680
791	41007	735642
792	41066	735726
793	41117	735663
794	41173	735686
795	41224	735622
796	41282	735680
797	41335	735654
798	41389	735639
799	41439	735548
800	41492	735528
801	41550	735579
802	41605	735585
803	41652	735447
804	41704	735389
805	41755	735335
806	41810	735329
807	41857	735204
808	41908	735140
809	41957	735035
810	42005	734915
811	42067	735040
812	42121	735025
813	42176	735026
814	42230	735015
815	42278	734904
816	42336	734947
817	42389	734920
818	42438	734824
819	42494	734846
820	42559	735018
821	42611	734971
822	42667	734992
823	42719	734933
824	42773	734927
825	42823	734846
826	42875	734796
827	42929	734786
828	42988	734845
829	43035	734709
830	43086	734648
831	43148	734773
832	43200	734722
833	43269	734963
834	43322	734929
835	43381	734998
836	43428	734864
837	43479	734799
838	43531	734745
839	43582	734668
840	43646	734832
841	43701	734821
842	43754	734796
843	43811	734822
844	43866	734828
845	43928	734946
846	43978	734865
847	44026	734737
848	44086	734832
849	44136	734748
850	44184	734620
851	44235	734564
852	44292	734586
853	44344	734536
854	44404	734614
855	44469	734780
856	44524	734788
857	44572	734664
858	44630	734718
859	44691	734810
860	44742	734747
861	44791	734643
862	44846	734646
863	44909	734769
864	44960	734697
865	45011	734633
866	45068	734660
867	45132	734800
868	45177	734638
869	45233	734656
870	45294	734752
871	45365	735006
872	45423	735044
873	45479	735060
874	45536	735082
875	45589	735058
876	45641	734996
877	45690	734893
878	45738	734787
879	45793	734779
880	45844	734713
881	45898	734681
882	45943	734527
883	46007	734670
884	46080	734944
885	46145	735091
886	46204	735164
887	46262	735201
888	46318	735201
889	46373	735194
890	46432	735257
891	46499	735440
892	46555	735454
893	46610	735451
894	46672	735554
895	46731	735599
896	46782	735529
897	46830	735416
898	46893	735535
899	46954	735627
900	47008	735598
901	47068	735671
902	47125	735694
903	47176	735625
904	47231	735608
905	47288	735626
906	47338	735554
907	47396	735582
908	47457	735669
909	47509	735610
910	47553	735439
911	47610	735451
912	47670	735527
913	47729	735574
914	47785	735583
915	47838	735546
